Año,Mes,Población total,Población de 15 años y más,Población económicamente activa (PEA),PEA Ocupada,PEA Desocupada,Población no económicamente activa (PNEA),PNEA Disponible,PNEA No disponible,3. Población ocupada por,3.1 Posición en la ocupación,Trabajadores subordinados y remunerados,Empleadores,Trabajadores por cuenta propia,Trabajadores no remunerados,No especificado,3.2 Sector de actividad económica,Primario,"Agricultura, ganadería, silvicultura, caza y pesca",Secundario ,"Industria extractiva, de la electricidad y manufacturera",Construcción,Terciario,Comercio,"Restaurantes y servicios de alojamiento, transportes, comunicaciones, correo y almacenamiento","Servicios profesionales, financieros y corporativos","Servicios sociales, gobierno y organismos internacionales",Servicios diversos,No especificado,3.3 Nivel de ingresos,Hasta un salario mínimo,Más de 1 hasta 2 salarios mínimos,Más de 2 hasta 3 salarios mínimos,Más de 3 hasta 5 salarios mínimos,Más de 5 salarios mínimos,No recibe ingresos,No especificado,3.6 Ámbito y tamaño de la unidad económica,Ámbito agropecuario,Ámbito no agropecuario,Micronegocios,Pequeños establecimientos,Medianos establecimientos,Grandes establecimientos,Gobierno y otros,No especificado,3.7 Distribución por tipo de unidad económica,Empresas y negocios,Instituciones,Sector de los hogares,Situaciones de carácter especial y no especificadas,3.8 Condición de informalidad,Ocupación formal,Ocupación informal,Sector informal,Fuera de sector informal,Tasa de desocupación de la población económicamente activa
2006.00,Sep,108510520.00,74795943.00,44932703.00,43137284.00,1795419.00,29863240.00,5017195.00,24846045.00,43137284.00,43137284.00,27652273.00,2186575.00,10367094.00,2931342.00,0.00,43137284.00,6067869.00,6067869.00,11235976.00,7633752.00,3602224.00,25516709.00,8475661.00,4599399.00,2409215.00,5674646.00,4357788.00,316730.00,43137284.00,5834530.00,8291481.00,9616135.00,7749045.00,5207614.00,3889906.00,2548573.00,43137284.00,6067869.00,36416109.00,17952760.00,6328672.00,4227688.00,3755971.00,4151018.00,653306.00,43137284.00,21481039.00,5993409.00,15335712.00,327124.00,43137284.00,17885403.00,25251881.00,11931361.00,13320520.00,
2006.00,Oct,108848284.00,75012297.00,45688882.00,43944488.00,1744394.00,29323415.00,4898738.00,24424677.00,43944488.00,43944488.00,28383914.00,2205886.00,10229935.00,3124753.00,0.00,43944488.00,6122005.00,6122005.00,11551498.00,7994109.00,3557389.00,25977682.00,8688493.00,4775484.00,2352059.00,5717551.00,4444095.00,293303.00,43944488.00,5844541.00,8845387.00,9569956.00,7955949.00,5188948.00,3984075.00,2555632.00,43944488.00,6122005.00,37217048.00,18024532.00,6735319.00,4418087.00,3868051.00,4171059.00,605435.00,43944488.00,22086118.00,6133922.00,15418795.00,305653.00,43944488.00,18567047.00,25377441.00,12027259.00,13350182.00,
2006.00,Nov,108847374.00,75478543.00,45938314.00,44329143.00,1609171.00,29540229.00,4884438.00,24655791.00,44329143.00,44329143.00,28969033.00,2128897.00,10093537.00,3137676.00,0.00,44329143.00,6822054.00,6822054.00,11482006.00,7909389.00,3572617.00,25658063.00,8566963.00,4729645.00,2407975.00,5520497.00,4432983.00,367020.00,44329143.00,5900696.00,9421954.00,9587311.00,7739683.00,5098689.00,4034890.00,2545920.00,44329143.00,6822054.00,36887698.00,17574325.00,6642376.00,4312010.00,4063167.00,4295820.00,619391.00,44329143.00,22817563.00,5948936.00,15190026.00,372618.00,44329143.00,18416493.00,25912650.00,11627505.00,14285145.00,
2006.00,Dic,108850763.00,74941242.00,44625899.00,43145811.00,1480088.00,30315343.00,4905509.00,25409834.00,43145811.00,43145811.00,28324802.00,2146789.00,9894368.00,2779852.00,0.00,43145811.00,6249423.00,6249423.00,10839767.00,7303672.00,3536095.00,25745963.00,8627706.00,4744547.00,2342783.00,5560367.00,4470560.00,310658.00,43145811.00,5611870.00,8800583.00,9402213.00,7903277.00,5212821.00,3652119.00,2562928.00,43145811.00,6249423.00,36243180.00,17449532.00,6509021.00,4186087.00,3808281.00,4290259.00,653208.00,43145811.00,21788556.00,5918943.00,15126324.00,311988.00,43145811.00,17980455.00,25165356.00,11617086.00,13548270.00,
2007.00,Ene,109192767.00,75546801.00,45071701.00,43247762.00,1823939.00,30475100.00,4750042.00,25725058.00,43247762.00,43247762.00,28259582.00,2155906.00,9830182.00,3002092.00,0.00,43247762.00,6113340.00,6113340.00,11237490.00,7618050.00,3619440.00,25564258.00,8659940.00,4691213.00,2356721.00,5601671.00,4254713.00,332674.00,43247762.00,5509999.00,9256591.00,9426192.00,7761851.00,4897865.00,3856109.00,2539155.00,43247762.00,6113340.00,36458293.00,17491527.00,6536594.00,4572162.00,3697618.00,4160392.00,676129.00,43247762.00,22286929.00,5934978.00,14689569.00,336286.00,43247762.00,18384895.00,24862867.00,11397279.00,13465588.00,
2007.00,Feb,109190870.00,76077072.00,45359658.00,43521834.00,1837824.00,30717414.00,5529121.00,25188293.00,43521834.00,43521834.00,28669695.00,2207551.00,9802121.00,2842467.00,0.00,43521834.00,6266973.00,6266973.00,11519001.00,7729520.00,3789481.00,25396714.00,8386006.00,4814844.00,2324578.00,5500223.00,4371063.00,339146.00,43521834.00,5879231.00,9641043.00,9227815.00,7809875.00,4809859.00,3552262.00,2601749.00,43521834.00,6266973.00,36586907.00,17657611.00,6558861.00,4266148.00,3901681.00,4202606.00,667954.00,43521834.00,22303722.00,5898151.00,14976880.00,343081.00,43521834.00,18171090.00,25350744.00,11742838.00,13607906.00,
2007.00,Mar,109191195.00,75305418.00,45150745.00,43468085.00,1682660.00,30154673.00,5106741.00,25047932.00,43468085.00,43468085.00,28459306.00,2178400.00,10125473.00,2704906.00,0.00,43468085.00,5894504.00,5894504.00,11356928.00,7586370.00,3770558.00,25942779.00,8565553.00,4768256.00,2479451.00,5653750.00,4475769.00,273874.00,43468085.00,6129643.00,9099702.00,9341416.00,7781154.00,5106368.00,3501022.00,2508780.00,43468085.00,5894504.00,36864011.00,18193406.00,6378413.00,4153324.00,3879939.00,4258929.00,709570.00,43468085.00,21770638.00,6000100.00,15387804.00,309543.00,43468085.00,18223538.00,25244547.00,12097709.00,13146838.00,
2007.00,Abr,109542566.00,75773064.00,45155289.00,43568980.00,1586309.00,30617775.00,5227631.00,25390144.00,43568980.00,43568980.00,28588516.00,2335650.00,9832494.00,2812320.00,0.00,43568980.00,5894218.00,5894218.00,10993643.00,7465039.00,3528604.00,26383743.00,8880748.00,4958153.00,2399686.00,5728961.00,4416195.00,297376.00,43568980.00,5499203.00,9142191.00,9319337.00,8147865.00,5315153.00,3549474.00,2595757.00,43568980.00,5894218.00,37097870.00,17770502.00,6707717.00,4378251.00,3923655.00,4317745.00,576892.00,43568980.00,22254634.00,6087686.00,14923932.00,302728.00,43568980.00,18574837.00,24994143.00,11563967.00,13430176.00,
2007.00,May,109541845.00,76354668.00,45782183.00,44339652.00,1442531.00,30572485.00,4856092.00,25716393.00,44339652.00,44339652.00,29161657.00,2151395.00,10014985.00,3011615.00,0.00,44339652.00,6389297.00,6389297.00,11869607.00,7991820.00,3877787.00,25751288.00,8360240.00,4835521.00,2498198.00,5552256.00,4505073.00,329460.00,44339652.00,5415781.00,9482667.00,9732019.00,8175026.00,5061517.00,3831876.00,2640766.00,44339652.00,6389297.00,37268217.00,18100430.00,6509784.00,4399113.00,3949054.00,4309836.00,682138.00,44339652.00,22293175.00,6054658.00,15651121.00,340698.00,44339652.00,18336516.00,26003136.00,12099455.00,13903681.00,
2007.00,Jun,109542487.00,75400854.00,45258928.00,43773533.00,1485395.00,30141926.00,4769290.00,25372636.00,43773533.00,43773533.00,28168097.00,2209301.00,10491630.00,2904505.00,0.00,43773533.00,6145925.00,6145925.00,11144937.00,7471670.00,3673267.00,26165691.00,8650837.00,4785873.00,2591169.00,5613907.00,4523905.00,316980.00,43773533.00,5660940.00,8796971.00,9471988.00,8072322.00,5109698.00,3948938.00,2712676.00,43773533.00,6145925.00,36959104.00,18235029.00,6255711.00,4252969.00,3931324.00,4284071.00,668504.00,43773533.00,21483232.00,6043519.00,15922121.00,324661.00,43773533.00,17889799.00,25883734.00,12227115.00,13656619.00,
